campaign_id,date,revenue,spend,clicks,impressions,conversion,campaign_type,daily_budget,campaign_name
566560838,25-05-2024,0,4.7,22,140,0,Search,10,Search_TM_Campaign_02
566560838,26-05-2024,0,4.3,14,120,0,Search,10,Search_TM_Campaign_02
566560838,27-05-2024,0,4.41,18,149,0,Search,10,Search_TM_Campaign_02
566560838,28-05-2024,0,2.61,8,135,0,Search,10,Search_TM_Campaign_02
566560838,29-05-2024,0,2.56,10,145,0,Search,10,Search_TM_Campaign_02
566560838,30-05-2024,0,2.6,10,203,0,Search,10,Search_TM_Campaign_02
566560838,31-05-2024,0,6.85,18,410,0,Search,10,Search_TM_Campaign_02
566560838,01-06-2024,0,29.68,61,1808,0,Search,10,Search_TM_Campaign_02
566560838,02-06-2024,0,25.58,59,2141,0,Search,10,Search_TM_Campaign_02
566560838,03-06-2024,0,54.42,111,4898,0,Search,10,Search_TM_Campaign_02
566560838,04-06-2024,0,79.26,149,5952,0,Search,10,Search_TM_Campaign_02
566560838,05-06-2024,0,85.44,175,7202,0,Search,10,Search_TM_Campaign_02
566560838,06-06-2024,0,96.07,188,7704,0,Search,10,Search_TM_Campaign_02
566560838,07-06-2024,0,110.47,212,7637,0,Search,10,Search_TM_Campaign_02
566560838,08-06-2024,0,102.34,208,7109,0,Search,10,Search_TM_Campaign_02
566560838,09-06-2024,0,107.39,198,6805,0,Search,10,Search_TM_Campaign_02
566560838,10-06-2024,0,99.54,204,9164,0,Search,10,Search_TM_Campaign_02
566560838,11-06-2024,0,128.21,230,8722,0,Search,10,Search_TM_Campaign_02
566560838,12-06-2024,0,123.95,226,9640,0,Search,10,Search_TM_Campaign_02
566560838,13-06-2024,0,109.75,210,10290,0,Search,10,Search_TM_Campaign_02
566560838,14-06-2024,0,131.09,250,10719,0,Search,10,Search_TM_Campaign_02
566560838,15-06-2024,0,119.78,236,9956,0,Search,10,Search_TM_Campaign_02
566560838,16-06-2024,0,148.99,273,9536,0,Search,10,Search_TM_Campaign_02
566560838,17-06-2024,0,132.75,254,11542,0,Search,10,Search_TM_Campaign_02
566560838,18-06-2024,0,132.34,267,11187,0,Search,10,Search_TM_Campaign_02
566560838,19-06-2024,0,138.09,261,11064,0,Search,10,Search_TM_Campaign_02
566560838,20-06-2024,0,136.78,275,11811,0,Search,10,Search_TM_Campaign_02
566560838,21-06-2024,0,118.47,229,11650,0,Search,10,Search_TM_Campaign_02
566560838,22-06-2024,0,122.92,237,11911,0,Search,10,Search_TM_Campaign_02
566560838,23-06-2024,0,120.82,238,10158,0,Search,10,Search_TM_Campaign_02
566560838,24-06-2024,0,114.53,234,10693,0,Search,10,Search_TM_Campaign_02
566560838,25-06-2024,0,117.05,226,11377,0,Search,10,Search_TM_Campaign_02
566560838,26-06-2024,0,150.79,290,12100,0,Search,10,Search_TM_Campaign_02
566560838,27-06-2024,0,149.08,283,12040,0,Search,10,Search_TM_Campaign_02
566560838,28-06-2024,0,104.78,209,8684,0,Search,10,Search_TM_Campaign_02
566560838,29-06-2024,0,139.22,280,11077,0,Search,10,Search_TM_Campaign_02
566560838,30-06-2024,0,206.09,369,13765,0,Search,10,Search_TM_Campaign_02
566560838,01-07-2024,0,162.04,345,14535,0,Search,10,Search_TM_Campaign_02
566560838,02-07-2024,0,162.68,327,15355,0,Search,10,Search_TM_Campaign_02
