date,channel,campaign_name,spend,revenue,clicks,impressions,conversions,roas
2024-01-01,Google Ads,Pmax_Campaign_03,7.162371,19.73102955,28.0,2687.0,0.987045,2.754818139132977
2024-01-01,Google Ads,Pmax_Campaign_04,14.43,193.0269991,19.0,316.0,2.927613,13.376784414414416
2024-01-01,Google Ads,Pmax_Campaign_05,63.23,286.8858262,177.0,16337.0,6.98106,4.537178968843904
2024-01-01,Google Ads,Pmax_Campaign_06,62.358381,303.8040245,252.0,20532.0,4.021899,4.871903657986246
2024-01-01,Google Ads,Pmax_Campaign_07,56.345718,160.51,133.0,5564.0,1.0,2.8486636730762753
2024-01-01,Google Ads,Pmax_Campaign_08,53.343372,171.235,145.0,19543.0,1.7,3.210052037955156
2024-01-01,Google Ads,Pmax_NTM_Campaign_10,428.540565,3382.542613,1520.0,163705.0,24.266729,7.893167856816542
2024-01-01,Google Ads,Pmax_NTM_Campaign_11,48.47005,220.955,149.0,16381.0,2.5,4.558588241604868
2024-01-01,Google Ads,Search_TM_Campaign_01,46.98,549.9880854,158.0,481.0,4.193582,11.706855798212008
2024-01-01,Google Ads,Video_Campaign_03,0.268223,0.0,1.0,105.0,0.0,0.0
2024-01-02,Google Ads,Pmax_Campaign_03,4.195506,0.0,28.0,2598.0,0.0,0.0
2024-01-02,Google Ads,Pmax_Campaign_04,37.39,271.3572482,32.0,389.0,1.020662,7.257481898903451
2024-01-02,Google Ads,Pmax_Campaign_05,59.03,185.701893,160.0,14705.0,3.972154,3.145890106725394
2024-01-02,Google Ads,Pmax_Campaign_06,53.337038,424.3657166,239.0,16700.0,5.565743,7.956304521447179
2024-01-02,Google Ads,Pmax_Campaign_07,61.750801,101.84,129.0,4831.0,2.0,1.6492093762476052
2024-01-02,Google Ads,Pmax_Campaign_08,37.484932,320.0,113.0,20171.0,2.0,8.536763518738676
2024-01-02,Google Ads,Pmax_NTM_Campaign_10,494.385302,2274.952651,1527.0,162747.0,27.580184,4.601578246353286
2024-01-02,Google Ads,Pmax_NTM_Campaign_11,41.03004,137.3825558,145.0,14713.0,3.986077,3.3483407717857454
2024-01-02,Google Ads,Search_TM_Campaign_01,53.558564,670.816817,244.0,818.0,4.083258,12.524921635314943
2024-01-02,Google Ads,Video_Campaign_03,0.251895,0.0,0.0,40.0,0.0,0.0
2024-01-03,Google Ads,Pmax_Campaign_03,1.968827,0.0,8.0,755.0,0.0,0.0
2024-01-03,Google Ads,Pmax_Campaign_04,11.58,0.0,19.0,265.0,0.0,0.0
2024-01-03,Google Ads,Pmax_Campaign_05,67.39003,264.9798163,183.0,18258.0,3.492939,3.932032917925693
