campaign_id,date,clicks,conversion,impressions,metrics_video_views,revenue,campaign_type,daily_budget,campaign_name,spend
10815380,21-02-2025,0,0,1,0,0,SEARCH,50,Search_Campaign_01,0
9988712287,01-01-2024,158,4.193582,481,0,549.9880854,SEARCH,90,Search_TM_Campaign_01,46.98
9988712287,02-01-2024,244,4.083258,818,0,670.816817,SEARCH,90,Search_TM_Campaign_01,53.558564
9988712287,03-01-2024,357,10.356219,1079,0,601.3984313,SEARCH,90,Search_TM_Campaign_01,75.7
9988712287,04-01-2024,382,14.30958,1384,0,1802.78763,SEARCH,90,Search_TM_Campaign_01,95.3
9988712287,05-01-2024,390,9.437749,1308,0,1168.576159,SEARCH,90,Search_TM_Campaign_01,92.73
9988712287,06-01-2024,457,8.069344,1496,0,1140.091757,SEARCH,90,Search_TM_Campaign_01,101.41
9988712287,07-01-2024,428,8.196562,1428,0,501.0218567,SEARCH,90,Search_TM_Campaign_01,119.81
9988712287,08-01-2024,375,10.616358,1264,0,1304.825147,SEARCH,90,Search_TM_Campaign_01,135.03
9988712287,09-01-2024,357,10.529519,1272,0,549.4646241,SEARCH,90,Search_TM_Campaign_01,113.06
9988712287,10-01-2024,273,11.071182,1117,0,824.3694051,SEARCH,90,Search_TM_Campaign_01,105.65
9988712287,11-01-2024,324,6.263908,1204,0,545.7807741,SEARCH,90,Search_TM_Campaign_01,113.12
9988712287,12-01-2024,382,17.002742,1294,0,1813.304438,SEARCH,90,Search_TM_Campaign_01,141.87
9988712287,13-01-2024,411,5.021881,1535,0,413.7307994,SEARCH,90,Search_TM_Campaign_01,118.89
9988712287,14-01-2024,435,14.026831,1457,0,1300.841784,SEARCH,90,Search_TM_Campaign_01,133.22
9988712287,15-01-2024,380,9.007375,1359,0,480.5518838,SEARCH,90,Search_TM_Campaign_01,129.25
9988712287,16-01-2024,356,9.420354,1202,0,757.6478475,SEARCH,90,Search_TM_Campaign_01,138.03
9988712287,17-01-2024,305,3.046291,1025,0,697.3311495,SEARCH,90,Search_TM_Campaign_01,105.4
9988712287,18-01-2024,313,12.718871,1113,0,1749.706295,SEARCH,90,Search_TM_Campaign_01,113
